Issue Type,Summary,Description,Priority,Labels,Status,Story Points,Epic Link,External ID
Epic,Project management and study operating model,"As a solo learner, I want a realistic agile board and backlog so that I can practice delivery rituals while studying GCP data engineering.

Acceptance Criteria: Jira workspace, workflow, labels, fields, and import process are ready.",High,epic;medallion,To Do,,E01,E01
Epic,Repository and VS Code foundation,"As a developer, I want GitHub and VS Code configured so that all learning work happens from a professional dev environment.

Acceptance Criteria: Repo cloned/opened in VS Code, Git identity configured, terminal workflow validated.",High,epic;medallion,To Do,,E02,E02
Epic,GCP first-time setup and cost guardrails,"As a cloud learner, I want a controlled GCP project so that I can practice safely on free credits and avoid surprise costs.

Acceptance Criteria: Project, billing, APIs, IAM, budget alerts, and cleanup routine are documented.",High,epic;medallion,To Do,,E03,E03
Epic,Synthetic retail dataset generation,"As a data engineer, I want generated CSV and JSON datasets so that I can build a full medallion pipeline without external data dependencies.

Acceptance Criteria: Generated local data includes customers, products, orders, order_items, payments, shipments, and clickstream events.",High,epic;medallion,To Do,,E04,E04
Epic,Bronze raw landing zone in GCS,"As a data engineer, I want raw immutable files in GCS so that the lake has a traceable source-of-record layer.

Acceptance Criteria: CSV and JSON files are uploaded to date-partitioned bronze paths with a manifest.",High,epic;medallion,To Do,,E05,E05
Epic,Dataproc and Spark development environment,"As a Spark learner, I want Dataproc reachable from VS Code over SSH so that I can develop and run Spark jobs remotely.

Acceptance Criteria: Single-node Dataproc cluster is created, SSH works, Spark UI is reachable, and repo is available on the cluster.",High,epic;medallion,To Do,,E06,E06
Epic,Silver standardization pipeline,"As a data engineer, I want bronze data converted to clean Parquet tables so that downstream processing is reliable and typed.

Acceptance Criteria: Silver jobs validate schemas, deduplicate, normalize timestamps, and write partitioned Parquet.",High,epic;medallion,To Do,,E07,E07
Epic,Gold analytics layer,"As an analyst, I want curated BigQuery marts so that sales, fulfillment, and customer metrics are queryable.

Acceptance Criteria: Gold fact/dimension tables and aggregate marts are available in BigQuery with validation queries.",High,epic;medallion,To Do,,E08,E08
Epic,Airflow orchestration with Cloud Composer,"As an operator, I want the pipeline scheduled and observable so that medallion jobs can be run end to end.

Acceptance Criteria: Composer DAG runs bronze checks, silver Spark jobs, gold loads, and validation tasks.",High,epic;medallion,To Do,,E09,E09
Epic,"Testing, documentation, and teardown","As a responsible learner, I want checks, notes, and cleanup steps so that the project is repeatable and low-cost.

Acceptance Criteria: Runbook, tests, screenshots checklist, and cleanup commands are complete.",Medium,epic;medallion,To Do,,E10,E10
Task,Create Jira Free site,"Sign up or sign in to Atlassian, create a Jira project named GCP Medallion Learning, and choose a Scrum or Kanban template.

Detailed Steps: Open Atlassian, create Jira Free project, set project key GCPDE, confirm backlog and board are visible.

Acceptance Criteria: Project exists and can accept imported tasks.

Cost Note: Free plan is sufficient for one user.",High,setup;jira,To Do,1,E01,T001
Task,Configure Jira workflow columns,"Create or confirm statuses: Backlog, To Do, In Progress, Blocked, Review, Done.

Detailed Steps: Open project settings, inspect workflow/board columns, map statuses to columns.

Acceptance Criteria: Board columns match the study workflow.

Cost Note: No paid features required.",High,setup;jira,To Do,1,E01,T002
Task,Create Jira labels and components,"Add labels or components for setup, github, gcp, gcs, dataproc, spark, bigquery, airflow, qa, docs, cost.

Detailed Steps: Use project settings or import labels from the task sheet.

Acceptance Criteria: Imported work can be filtered by technology area.

Cost Note: No paid features required.",Medium,setup;jira,To Do,1,E01,T003
Task,Import task workbook into Jira,"Save the Jira_Import sheet as CSV and use Jira external system import or issue import.

Detailed Steps: Map Summary, Issue Type, Description, Priority, Labels, Epic Link or Parent, Story Points, and Status fields.

Acceptance Criteria: Imported issues preserve task order and grouping.

Cost Note: Jira import behavior may vary by project type.",High,setup;jira,To Do,2,E01,T004
Task,Create weekly study cadence,"Add recurring personal calendar blocks for planning, build, review, and cleanup.

Detailed Steps: Pick 3-5 study windows per week and link them to Jira sprints or weekly board reviews.

Acceptance Criteria: Study cadence is visible and realistic.

Cost Note: No paid features required.",Medium,planning,To Do,1,E01,T005
Task,Check Git installation from VS Code terminal,"Open VS Code terminal in this repo and run git --version, git status, and git branch.

Detailed Steps: Record output in notes if Git is missing or repo is not initialized.

Acceptance Criteria: Git works from the integrated terminal.

Cost Note: No GCP cost.",High,github;vscode;terminal,To Do,1,E02,T006
Task,Configure Git identity,"Run git config --global user.name and user.email with your GitHub identity.

Detailed Steps: Validate with git config --global --list.

Acceptance Criteria: Commits will show the correct author.

Cost Note: No GCP cost.",High,github;terminal,To Do,1,E02,T007
Task,Authenticate GitHub CLI or SSH,"Install or validate GitHub CLI, then run gh auth login, or configure SSH keys for GitHub.

Detailed Steps: Use either HTTPS with gh auth or SSH; test with gh repo list or ssh -T git@github.com.

Acceptance Criteria: GitHub authentication works from VS Code terminal.

Cost Note: No GCP cost.",High,github;vscode;terminal,To Do,2,E02,T008
Task,Create GitHub repository for playground,"Create a new GitHub repository for your medallion learning work or push this folder as a branch/project.

Detailed Steps: Use GitHub UI or gh repo create, then add remote origin if needed.

Acceptance Criteria: Remote repo exists and local code can push.

Cost Note: No GCP cost.",High,github,To Do,2,E02,T009
Task,Create branch strategy,"Use main for stable notes and codex or feature branches for changes.

Detailed Steps: Create a first branch such as codex/jason-playground-plan and push it.

Acceptance Criteria: Branching workflow is ready for pull requests.

Cost Note: No GCP cost.",Medium,github,To Do,1,E02,T010
Task,Install VS Code extensions,"Install Python, Jupyter, Google Cloud Code, Remote SSH, GitHub Pull Requests, YAML, and optional Markdown extensions.

Detailed Steps: Use VS Code Extensions panel and verify each extension is enabled.

Acceptance Criteria: VS Code is ready for local, cloud, and remote work.

Cost Note: No GCP cost.",High,vscode;setup,To Do,2,E02,T011
Task,Create local project structure,"Inside JasonPlayground, create folders for datasets, src, dags, sql, notebooks, docs, and scripts.

Detailed Steps: Use terminal mkdir commands and commit the structure with placeholder README files if needed.

Acceptance Criteria: Folder layout supports medallion development.

Cost Note: No GCP cost.",High,vscode;terminal,To Do,1,E02,T012
Task,Practice Windows terminal file operations,"Run pwd, dir, cd, mkdir, copy, move, rename, and remove-item on safe scratch files.

Detailed Steps: Keep the commands in docs/terminal_cheatsheet.md.

Acceptance Criteria: You can manage local files without leaving VS Code.

Cost Note: No GCP cost.",Medium,terminal;docs,To Do,1,E02,T013
Task,Create or select GCP account,"Sign in to Google Cloud and confirm billing/free trial status before creating resources.

Detailed Steps: Record account email, billing account name, and whether free credits are active in a private note outside git.

Acceptance Criteria: GCP account is ready and billing status is understood.

Cost Note: Budget alerts are still required.",High,gcp;setup;cost,To Do,1,E03,T014
Task,Create GCP project,"Create a project such as jason-gcp-de-playground with a unique project id.

Detailed Steps: Use Console or gcloud projects create if organization policy allows it.

Acceptance Criteria: Dedicated learning project exists.

Cost Note: Project itself is not the main cost source.",High,gcp;setup,To Do,1,E03,T015
Task,Install and initialize Google Cloud CLI,"Install gcloud, run gcloud init, login, and set the active project.

Detailed Steps: Validate with gcloud config list and gcloud projects describe PROJECT_ID.

Acceptance Criteria: gcloud works from VS Code terminal.

Cost Note: No direct cost.",High,gcloud;vscode;terminal,To Do,2,E03,T016
Task,Set default region and zone,"Choose a low-cost region and set compute/Dataproc defaults.

Detailed Steps: Run gcloud config set compute/region and compute/zone.

Acceptance Criteria: Commands do not need region flags every time.

Cost Note: Region impacts price and availability.",Medium,gcloud;setup,To Do,1,E03,T017
Task,Enable required APIs,"Enable Compute Engine, Dataproc, Cloud Storage, BigQuery, Cloud Composer, IAM, Secret Manager, and Cloud Logging APIs.

Detailed Steps: Use Console or gcloud services enable for each service.

Acceptance Criteria: All planned services can be created when needed.

Cost Note: Enabling APIs is generally free; resources are not.",High,gcp;setup,To Do,2,E03,T018
Task,Create budget alert,"Create a low monthly budget alert, for example USD 5 or 10, with notifications at 50, 80, and 100 percent.

Detailed Steps: Use Billing Budgets and Alerts in Console.

Acceptance Criteria: Cost alerts are active before creating compute resources.

Cost Note: Critical guardrail for free-trial use.",High,cost;setup,To Do,1,E03,T019
Task,Create service account,"Create a service account for pipeline execution with least-privilege roles for storage, BigQuery, Dataproc, and Composer as needed.

Detailed Steps: Start narrow, then add roles only when a command fails due to missing permission.

Acceptance Criteria: Pipeline identity exists and keys are avoided unless truly needed.

Cost Note: No direct cost.",High,iam;security,To Do,2,E03,T020
Task,Document cleanup checklist,"Create docs/cleanup_checklist.md covering Dataproc clusters, Composer environments, static IPs, buckets, BigQuery datasets, and budgets.

Detailed Steps: Add exact gcloud delete commands as you learn them.

Acceptance Criteria: Cleanup steps are ready before costly resources exist.

Cost Note: Prevents idle cloud spend.",High,cost;docs,To Do,1,E03,T021
Story,Design synthetic retail domain,"Define tables for customers, products, orders, order_items, payments, shipments, inventory, stores, and clickstream events.

Detailed Steps: Write source-to-target notes and expected row counts in Dataset_Design sheet or docs.

Acceptance Criteria: Dataset design supports bronze, silver, and gold transformations.

Cost Note: No GCP cost.",High,dataset;design,To Do,3,E04,T022
Task,Create dataset generator script,"Write a Python script that generates repeatable CSV and JSON files using a fixed seed.

Detailed Steps: Output small, medium, and optional large profiles.

Acceptance Criteria: Generated files can be recreated exactly.

Cost Note: No GCP cost.",High,dataset;python,To Do,3,E04,T023
Task,Generate CSV source files,"Generate customers.csv, products.csv, stores.csv, orders.csv, order_items.csv, payments.csv, shipments.csv, and inventory.csv.

Detailed Steps: Use date-partition-friendly fields such as order_date and event_date.

Acceptance Criteria: CSV files exist with headers and realistic values.

Cost Note: No GCP cost.",High,dataset;csv,To Do,2,E04,T024
Task,Generate JSON event files,"Generate clickstream JSON lines and order_status_event JSON lines with nested fields.

Detailed Steps: Include event_id, event_ts, user/session ids, and payload attributes.

Acceptance Criteria: JSON files exercise semi-structured ingestion.

Cost Note: No GCP cost.",High,dataset;json,To Do,2,E04,T025
Task,Create data quality expectations,"Define expected row counts, unique keys, allowed statuses, required columns, and referential integrity checks.

Detailed Steps: Store expectations in docs/data_quality_rules.md or a YAML file.

Acceptance Criteria: Each dataset has at least three validation rules.

Cost Note: No GCP cost.",High,qa;dataset,To Do,2,E04,T026
Task,Create GCS bucket naming plan,"Choose globally unique bucket names for bronze, silver, gold, scripts, and temp or use one bucket with prefixes.

Detailed Steps: Record naming convention and region in docs/gcp_objects.md.

Acceptance Criteria: Bucket plan is clear before creation.

Cost Note: Bucket storage costs are small but real.",High,gcs;design,To Do,1,E05,T027
Task,Create GCS bucket,"Use gcloud storage buckets create or Console to create the project bucket in your chosen region.

Detailed Steps: Enable uniform bucket-level access unless a lesson requires object ACLs.

Acceptance Criteria: Bucket exists and is visible from CLI.

Cost Note: Storage charges apply by volume.",High,gcs;gcloud,To Do,1,E05,T028
Task,Create bronze prefix structure,"Create prefixes such as bronze/csv/orders/load_date=YYYY-MM-DD and bronze/json/clickstream/load_date=YYYY-MM-DD.

Detailed Steps: Use local path mirrors before uploading.

Acceptance Criteria: Bronze structure follows medallion raw-zone convention.

Cost Note: No meaningful cost beyond storage.",High,gcs;bronze,To Do,1,E05,T029
Task,Upload bronze CSV files,"Use gcloud storage cp or gsutil cp to upload generated CSV files to bronze paths.

Detailed Steps: Validate with gcloud storage ls and compare local file counts.

Acceptance Criteria: CSV files are in GCS bronze.

Cost Note: Storage and operation charges apply.",High,gcs;bronze;csv,To Do,2,E05,T030
